"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"GOLGA7","GOLGA7","oligo2","blue",0.142074160439424,0.128312611413973,0.224066960879601,0.0883405580262559,0.0781716632404259,0.133937052272382,0.084980095167569,0.157867590700168,0.0185597822164098
"GPAT4","GPAT4","grey","grey",0.11162323471639,0.0985815919044501,0.0782500597176274,0.112367715926375,0.0864911554124246,0.0852996954188469,0.0810381543115685,0.0674447750861571,0.0238625590772126
"KAT6A","KAT6A","oligo3","turquoise",0.251610482648881,0.233861728114826,0.133935710441095,0.258681222161407,0.193747521696304,0.221560676243532,0.194991555955536,0.19238510306188,0.0386901046078564
"AP3M2","AP3M2","grey","grey",0.0864289169766626,0.0775389848328394,0.0815109446339528,0.0690875521467575,0.0525826399066226,0.0692488134074865,0.0576694298744064,0.0655854535505686,0.0298866741107158
"IKBKB","IKBKB","oligo3","turquoise",0.139996738742706,0.123693276079539,0.0737779249930021,0.148452907895516,0.109123478746566,0.114645828718702,0.111401168514235,0.0920374386717529,0.0234647523640866
"POLB","POLB","grey","grey",0.096951501298718,0.0924270633405724,0.0564628682016753,0.0894875473137926,0.0777856615720881,0.0823119067844589,0.0847361620190066,0.0759802170843521,0.0251955975066617
"VDAC3","VDAC3","oligo2","blue",0.108808887372178,0.0941263029922834,0.123991329884563,0.0972255741091661,0.0695528656117682,0.074108511677561,0.0844317400668724,0.071527982350253,0.0352455185511757
"SLC20A2","SLC20A2","grey","grey",0.267349197399742,0.249495870323501,0.164596389660859,0.268735907734271,0.2049637463169,0.233696975859062,0.231101215112303,0.211678887189231,0.0460627265522421
"SMIM19","SMIM19","grey","grey",0.0944787982097332,0.0841227294618871,0.101653560881601,0.0769046554871845,0.0580929506797095,0.0746244865415496,0.0702470892600646,0.0761634267315589,0.0228987296239103
"RNF170","RNF170","grey","grey",0.188654539353488,0.191375055387093,0.133402383688479,0.172017009379706,0.15642637268011,0.17319655905863,0.175021078388904,0.16263022430515,0.0322662452364236
"HOOK3","HOOK3","grey","grey",0.243422101589274,0.230903404340712,0.132560791907024,0.24073542440692,0.192769839717831,0.225133235109946,0.22175375265581,0.201497689499803,0.0493648859422853
"FNTA","FNTA","oligo2","blue",0.10879236960096,0.0889274973960884,0.143691479253828,0.0936007062680425,0.0645673111409485,0.083104213522412,0.0863622329796103,0.0744704186988307,0.0181159574664486
"HGSNAT","HGSNAT","oligo8","yellow",0.154343572300047,0.155228067571772,0.103032331930538,0.135815971179632,0.118989014209529,0.128496436631319,0.125360194468644,0.127634075222601,0.0408886750588909
"SPIDR","SPIDR","grey","grey",0.222629918228048,0.214569684483901,0.117896667553185,0.212307225909292,0.173884360314588,0.20645171787745,0.190640275174476,0.191804572966895,0.0455391340547106
"PRKDC","PRKDC","oligo3","turquoise",0.201392353249429,0.179775413585195,0.123164590724544,0.200818733104544,0.150295281001413,0.164054784870651,0.158201865431369,0.140350095463099,0.0250923698029048
"UBE2V2","UBE2V2","grey","grey",0.107675135421013,0.0940249946763801,0.076508094540896,0.104049396334657,0.0846647986391469,0.0880366774132079,0.0804339328173831,0.0675707091889422,0.0399903042204041
"SNTG1","SNTG1","oligo8","yellow",0.00885876943731492,0.0171318771681306,0.00460554219041766,-0.00481915464916262,0.0114574650095387,0.000691445134876439,-0.00221941473709744,0.00558472323284755,0.197335123147133
"PXDNL","PXDNL","grey","grey",0.0812699930400058,0.0676158402158096,0.0331491989674432,0.0858373033513597,0.0615540106112527,0.074274195699485,0.0607690864984129,0.0536771132691385,0.0172056577333164
"PCMTD1","PCMTD1","grey","grey",0.226269100602831,0.19829798005474,0.151702481665408,0.215596526745876,0.159630243059438,0.200199971999471,0.185038183656879,0.170571638104594,0.0438240322219006
"AC064807.1","AC064807.1","grey","grey",0.0617571142607135,0.0600055449652683,0.0521965173781534,0.0533530111726577,0.0451086992375088,0.0529200447460032,0.048456185845356,0.0545897032089871,0.0201439283457852
"ST18","ST18","oligo3","turquoise",0.601938660989363,0.545378692318418,0.327483661490639,0.649982605499121,0.475926719051462,0.561709657642065,0.595989957808617,0.475232049114957,0.0833260062744295
"RB1CC1","RB1CC1","grey","grey",0.212639170436621,0.192657563231155,0.123727606596303,0.203677256648572,0.161575175904279,0.192728883611264,0.155266636511994,0.171541104985665,0.0425128377141881
"ATP6V1H","ATP6V1H","grey","grey",0.154854403359081,0.14096561989141,0.0984715816969939,0.146995928509032,0.117881839884746,0.135313160607963,0.127227680530762,0.12226251752545,0.0530263411465277
"TCEA1","TCEA1","oligo1","brown",0.115294893543275,0.120573612042378,0.0905447726470237,0.0991569462399921,0.0809558767018162,0.100525115377971,0.0763483412266186,0.0959227838723872,0.0337204811012245
"XKR4","XKR4","oligo1","brown",0.0419874380713457,0.0517434712953569,0.029370471914905,0.0322469142694244,0.0357502497956806,0.0426328521532344,0.0407409613582674,0.0393633511617906,0.0739767080583193
"TMEM68","TMEM68","grey","grey",0.093413166380295,0.0837453113695865,0.0719905459721447,0.0828149487520489,0.0606893840058862,0.0824474805296469,0.064134317402649,0.0791398959825375,0.00463369222752364
"TGS1","TGS1","grey","grey",0.0871518464473706,0.0764760513342356,0.0576529417634234,0.0740676431531676,0.0486379639973957,0.0742201986381582,0.0561558562329871,0.0660692058480733,0.0166009181886858
"RPS20","RPS20","grey","grey",0.0812509083384187,0.0710710551539039,0.0975791275127909,0.0691145644531965,0.0519526048742304,0.065437860777063,0.0571129182227864,0.0587053480239936,0.0176475374629701
