"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"ALG14","ALG14","grey","grey",0.165925914812347,0.162390333567817,0.117943465935379,0.0615632770468274,0.0733065861618588,0.115163695356187,0.106332575810865,0.0978438350061194,0.0691724460459949
"PTBP2","PTBP2","grey","grey",0.410174051527299,0.436933555399921,0.294836987311506,0.16711068369783,0.17701293637616,0.354381979928923,0.315992550309693,0.282938682755849,0.289578206264614
"DPYD","DPYD","oligo1","turquoise",0.568313038755152,0.587275006010021,0.373447467944186,0.17718729507806,0.369077015090687,0.482332201016652,0.338905307889676,0.316993642686425,0.250955758221686
"DPYD-AS1","DPYD-AS1","oligo5","blue",0.097570937451629,0.128967962959162,0.157178142261713,0.133475062881704,0.112037492445432,0.121753588324499,0.0223753058236786,0.0342919225143861,-0.00241929560942264
"AGL","AGL","grey","grey",0.138035095360976,0.135651614926176,0.112288705481516,0.0705475631769374,0.0645744243275277,0.100958225960846,0.0912893636467671,0.0829929393399063,0.0538608451907619
"SASS6","SASS6","grey","grey",0.088195153003197,0.0966739544954141,0.0697741905987045,0.0440613738389976,0.0415016070209625,0.0699812247444556,0.0615491059605513,0.0571866388925963,0.0522272582022459
"TRMT13","TRMT13","grey","grey",0.208126800762843,0.224926336923762,0.185886029856726,0.113213959359392,0.0973273848262845,0.167953845585759,0.126327152014048,0.1203024948324,0.0907603574334798
"DBT","DBT","grey","grey",0.125107521840569,0.124219535834228,0.102409360548967,0.0679536464911165,0.0490072960460688,0.0883049366140239,0.079564018554653,0.0690489131907498,0.0543236646849828
"RTCA","RTCA","grey","grey",0.0815074223111594,0.0947717875253691,0.0754750484359777,0.053173767757111,0.0568123579872882,0.0794568336839684,0.047000614230202,0.0506904831290086,0.0304691161437098
"EXTL2","EXTL2","grey","grey",0.0932880878624971,0.101279700119305,0.0883499572309361,0.0649036984550527,0.0415915531928495,0.0828679477113715,0.0721646956544422,0.0708478365879951,0.0516064435280185
"SLC30A7","SLC30A7","grey","grey",0.154447686571628,0.184064000147596,0.120671233151547,0.078481000627494,0.109681761312929,0.1540693921591,0.0952807377405833,0.0992447308661245,0.0741793446260291
"DPH5","DPH5","oligo1","turquoise",0.141065192898658,0.139111150110047,0.0922534458750759,0.0403231403958487,0.062974463509664,0.0950396425021138,0.0854965124519532,0.0784838842813119,0.0603392592846248
"OLFM3","OLFM3","oligo7","green",0.0657015371996184,0.0569358760900293,0.0153483886297759,0.0161556306615727,0.0322987752711449,0.0364958587764502,0.0436502870441894,0.0563156231058905,0.0143308832707964
"RNPC3","RNPC3","oligo1","turquoise",0.239816619342508,0.237316727790044,0.191064856676141,0.102692464233374,0.0905654124494191,0.160759575217717,0.135645021910615,0.116367163158653,0.0914498739270296
"AMY2B","AMY2B","grey","grey",0.114091627047214,0.111876498132298,0.0905985219601722,0.0567126713673761,0.0452458560901437,0.0793425359999175,0.0872321228903297,0.0793931006778999,0.0691962267345096
"PRPF38B","PRPF38B","grey","grey",0.145617381086263,0.177345846096799,0.12481265370772,0.0775591320519621,0.099991791682307,0.146307997000593,0.0889632052493575,0.0882822888088709,0.0657545165911932
"STXBP3","STXBP3","grey","grey",0.29157278800181,0.298912983348712,0.242769090102185,0.150840953718375,0.142546717983062,0.23943346421017,0.188734715889105,0.17578892934248,0.130190324583943
"AL449266.1","AL449266.1","grey","grey",0.110622273802612,0.128391346774061,0.12169218358121,0.0932508581990264,0.0505436515580323,0.104383143655047,0.0803350240638511,0.0740888813848309,0.0658542251110817
"GPSM2","GPSM2","grey","grey",0.282808690673809,0.2931161275372,0.22408716363659,0.128899456499045,0.137529229492612,0.220234441148722,0.185009796762919,0.16248637416553,0.132131575715854
"WDR47","WDR47","oligo5","blue",0.0922832957286018,0.113185669581186,0.0953860682624941,0.0848738851606318,0.0592201819940617,0.10363701888841,0.0696887607435282,0.0687272735680006,0.0562290705422293
"TMEM167B","TMEM167B","oligo2","brown",0.0762465565324701,0.0952710665757245,0.113165087519528,0.0852591327738781,0.0551931237142092,0.0722320773457995,0.0418142968173462,0.0340200969595121,0.0277718730128555
"KIAA1324","KIAA1324","grey","grey",0.078222730137658,0.0872804557086382,0.0354666448558749,0.0139451324500791,0.0276969538530383,0.0733650352887003,0.0666648399329411,0.0621106039660957,0.0598862995131163
"SARS","SARS","oligo5","blue",0.0856390466343745,0.122722586336294,0.117591669926753,0.099390019745949,0.0943677768551321,0.122147558857736,0.0372054589096948,0.0528092062402335,0.0200707709665544
"CELSR2","CELSR2","oligo2","brown",0.162952405699114,0.1534945240801,0.181305059427664,0.126785739645549,0.0537510188283562,0.107507970161913,0.100274694836389,0.0914598640252375,0.0676717930392792
"PSRC1","PSRC1","oligo1","turquoise",0.227112245537467,0.195832707747238,0.248524185608658,0.143951287574336,0.072723380378164,0.113235476406113,0.105540766556394,0.0874965645570069,0.0391007553232407
"SORT1","SORT1","oligo1","turquoise",0.558212154896067,0.531804164004597,0.405593038467649,0.235810103966949,0.203806318634317,0.390961172967096,0.376641666360164,0.340605093193352,0.273806960806132
