"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10","kME_oligo11","kME_oligo12","kME_oligo13"
"GPR137","GPR137","oligo3","blue",0.0802274256248064,0.0505477477870691,0.0891036413776561,0.0981897519749417,0.0514875494180108,0.0776725049013515,0.0435439192425985,0.0649006057330753,0.0739297918716385,0.0467929536846402,0.0397444535598858,0.0811648517809237,0.0134354485362422,0.0376505327234747
"TRMT112","TRMT112","oligo2","brown",0.0604142907711713,0.0398829976033125,0.220374781959223,0.0651244839571937,-0.00468982425422563,-0.0132164849862501,-0.01497145443191,0.0298935142424961,0.127198856941086,-0.0183865608018954,0.0790986510933554,0.113623925242133,-0.000403511784438159,-0.00348607727065206
"PRDX5","PRDX5","oligo2","brown",0.0745130120267566,0.015738701650563,0.197094601242755,0.0708748981796704,0.0403360907664567,0.0166663253575335,-0.000224497835781766,0.0427969649903838,0.112025442877479,0.0163382119616577,0.070565642206358,0.140778599421072,0.00689732966608631,-0.00897316305809033
"NRXN2","NRXN2","oligo4","turquoise",0.146245536117766,0.046868456961772,0.0423041101879898,0.1248752390459,0.175210720501129,0.15624452390231,0.124645147712765,0.124194917866364,0.0601513773659455,0.169755492470676,0.117417865309079,0.113065671124943,0.0340921306305725,0.0915315968053838
"SF1","SF1","oligo10","green",0.220417390846278,0.157499870569252,0.193982799946266,0.201603071755547,0.149393839930279,0.151919832817011,0.151533168261535,0.162206445456289,0.174351299495472,0.158783351934602,0.255089857072906,0.185552759488295,0.0239149893148608,0.149310820505784
"MAP4K2","MAP4K2","grey","grey",0.0783092875155341,0.0692438396096082,0.0448564951603032,0.0614106437788624,0.0437822567834228,0.0645308971482173,0.0881312709623274,0.0939423753707572,0.075037659197998,0.0805909261089923,0.0495319490827357,0.0425161475796556,0.0215495036317833,0.0569653801433552
"EHD1","EHD1","grey","grey",0.0826612753080166,0.0333803432698339,0.0733982986110562,0.0664626253703036,0.0805595657537733,0.0716541803896521,0.0614955321741348,0.0818980916647847,0.0797745317791417,0.0837224945665066,0.0473502918707591,0.108475968052587,0.00814981467838494,0.0425778234579525
"ATG2A","ATG2A","grey","grey",0.0626326087785275,0.0384587800360361,0.0498138356174961,0.0533988662957229,0.0396187807660348,0.040440480423946,0.0418487322826889,0.0426092785577506,0.0467168005684936,0.0397806729742238,0.0629993935376629,0.0447848762171955,0.00654576540641483,0.0333555056561881
"PPP2R5B","PPP2R5B","grey","grey",0.114460251907111,0.0536845999849974,0.0902957227327993,0.0866372125473859,0.0908472548627602,0.0805720822279438,0.0695888690907738,0.0885427759449246,0.078663519756815,0.0905425125029643,0.1038280833717,0.0973654939983888,0.00957388371929305,0.0604741050316295
"ZFPL1","ZFPL1","grey","grey",0.094357433733855,0.0807866546053066,0.0805587831037954,0.0763444690031644,0.0564516656203423,0.0639800662216101,0.07476030512511,0.0786115160868703,0.0771951008688948,0.0674803011395144,0.0984739206102043,0.0623064356095253,0.00151930299540707,0.0743227651975673
"VPS51","VPS51","grey","grey",0.128834934817562,0.0995931768801286,0.0673325594459317,0.118131424158979,0.0980036497256197,0.124338066193213,0.128319051742344,0.12468803767924,0.0911907343374747,0.127568600524222,0.0993974235702562,0.0811771241274107,0.0263639744780506,0.101257997816608
"TM7SF2","TM7SF2","oligo10","green",0.103184606235837,0.0137136807378874,0.0855370417377778,0.0871786307551244,0.130041343934072,0.0830684447288297,0.0470963512609812,0.0529107772197878,0.0373539773615868,0.0893037256661414,0.140045390482424,0.129059136242922,0.00154060382768881,0.0423256312959661
"FAU","FAU","oligo2","brown",0.0842020777402004,0.0411922837014843,0.319804000715416,0.0796235733434838,-0.00675209548563071,-0.00928327113815929,-0.0137753631482612,0.0473523078002941,0.181238680361238,-0.0107276324139833,0.0979022779387853,0.16085803351107,-0.00468661371959186,-0.0164673479801127
"SYVN1","SYVN1","grey","grey",0.078174795337059,0.0438092115085338,0.0837440786246326,0.0548833308994389,0.0478963356380706,0.0468876115512478,0.0545439626415323,0.0713490638761341,0.0835070508165996,0.0567861283445002,0.0708170596688524,0.0844838419479679,0.00335757837625877,0.0322540552059975
"POLA2","POLA2","grey","grey",0.108404689720457,0.0632714918001011,0.0421636214138175,0.0724752058541128,0.0906495058118091,0.0830407934448111,0.0945607966270668,0.0842731970778634,0.0469218869672017,0.104409622658966,0.115507431000337,0.0636332745063904,0.000974998856646993,0.0855127524084699
"CDC42EP2","CDC42EP2","grey","grey",0.0823753903407328,0.048528567475603,0.113972576405705,0.0705825280286674,0.0504002592282917,0.0463409246294313,0.0475019624867512,0.0701768418844149,0.100965562814258,0.0600350779506683,0.0762989030916028,0.102606959612531,-0.000568182249106185,0.0458982089303217
"DPF2","DPF2","grey","grey",0.119356706914877,0.0898115765803634,0.118267352570366,0.112872437183342,0.0598908029024204,0.0840606507267948,0.0822171002952699,0.101798779245548,0.108926849114515,0.075056208002543,0.0902372204369248,0.0916917322885522,0.00677914082158612,0.0621991222662354
"FRMD8","FRMD8","oligo3","blue",0.0787511260953407,0.0722353589165333,0.0356161221554561,0.0989409635119518,0.0463541375531765,0.0928088420070077,0.0862088159483239,0.0793187064890618,0.0515794867503064,0.0689532448273165,0.0386619228007325,0.0402504338798642,0.0109357711106957,0.0572750735572588
"NEAT1","NEAT1","oligo4","turquoise",0.514241953102572,0.153487953357661,0.0362801193305067,0.489132250948364,0.672696731472977,0.617823879904774,0.454265217932217,0.370685214442846,0.0475017670528995,0.597712759482161,0.37845251053716,0.313158667104532,0.0706524066000793,0.31098328325192
"MALAT1","MALAT1","oligo10","green",0.671893651527594,0.275978426551851,0.444195142219501,0.49999970980142,0.652500368055679,0.463272419423077,0.418174500870257,0.450636202145814,0.349153558787906,0.568840978558444,0.810741645883902,0.560253844803737,0.0669812685376776,0.392120250885842
