"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"CEP164","CEP164","grey","grey",0.17579469773962,0.0794605290953624,0.0755022225927662,0.166986729741771,0.174413103888281,0.175875304595957,0.0866979428366778,0.153581652468946,0.0894345019160815,0.166273082314037,0.152182473288663
"AP000892.1","AP000892.1","grey","grey",0.0467668802906625,0.0359589610509949,0.0501708138690513,0.0459908689357672,0.0367291589826082,0.0674319602367261,0.00875052465152466,0.0185102314560601,0.0815795388243902,0.0399337008839402,0.0540154382960501
"DSCAML1","DSCAML1","oligo9","purple",0.531133660940021,0.243645875990008,0.193290673964581,0.508849726201747,0.546825055558156,0.458223341015613,0.297299212841194,0.519717683622027,0.176901604847949,0.576748072622626,0.422191839131677
"UBE4A","UBE4A","grey","grey",0.215973662411903,0.157545617062454,0.136277975153503,0.17849312400163,0.196651984510721,0.165180757215252,0.15764014812995,0.197554243067543,0.0985486996416583,0.184891996658849,0.136147815802508
"ATP5MG","ATP5MG","grey","grey",0.124059016166449,0.123767350769877,0.10741992742705,0.0957943471852272,0.105723825176292,0.0907817791554361,0.101444164250695,0.102730457648351,0.0776793033372261,0.0992924881211754,0.0654269531376188
"KMT2A","KMT2A","grey","grey",0.328727007304596,0.172300675130562,0.132048552968402,0.285592259589589,0.319170567829788,0.270565565886167,0.209858620767754,0.315101367602817,0.120788016483922,0.29900219655611,0.234386760750055
"AP001267.3","AP001267.3","grey","grey",0.0570061642322211,0.0425447733709489,0.0512176874655673,0.0477291926368104,0.0497021987207027,0.0596956279755575,0.0269261987086859,0.044268208680571,0.0703208679358293,0.0472822058503825,0.0469192285330904
"ARCN1","ARCN1","grey","grey",0.131334031747661,0.124162783983819,0.107032859984914,0.107492461326188,0.114832018673912,0.0959961079310417,0.118159007928881,0.114053043633218,0.0725388004574423,0.107383940188382,0.0801953496533289
"PHLDB1","PHLDB1","oligo5","yellow",0.406317688770827,0.195145318477008,0.168622464830557,0.357603604280165,0.41307937467933,0.436645196616843,0.218130362169804,0.350166975647909,0.171044451364571,0.368439073994126,0.31529948140262
"TREH","TREH","oligo8","green",0.0417003640642748,0.0372356159056795,0.0599673944774513,0.0259711781942,0.034072557369684,0.0670581492379471,0.0082972364056912,0.0109323591427286,0.114202111619617,0.0232315690639369,0.0375117112883714
"AP002954.1","AP002954.1","oligo1","turquoise",0.0518555764733449,0.114080100269033,0.0946390001768657,0.0280479404504886,0.0289144912763442,0.0219126683838493,0.0729505627155767,0.0393704462361583,0.0704677973348539,0.0301019011001129,0.0110074326125158
"DDX6","DDX6","grey","grey",0.224738244693902,0.145426954204666,0.123233039598386,0.190903705825348,0.209337764014343,0.182282382950757,0.157328894768934,0.21056093568998,0.113280245554168,0.194701423395218,0.152312940612553
"CCDC84","CCDC84","oligo5","yellow",0.173229181592229,0.0719117040422832,0.076623460435391,0.154949699779337,0.169107368128832,0.194884902410464,0.0774364935208435,0.14843225063673,0.0931054058991987,0.154042633399054,0.142927905104803
