"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6"
"NTRK2","micro2","brown",0.0614860694392719,0.00845888076729467,0.144126135832669,0.028101356502606,0.0763224176513169,-0.00148163077406051,0.12199356643674
"AGTPBP1","micro1","turquoise",0.369066849097556,0.452098788311613,0.219490145740402,0.170229944937755,0.346171102097168,0.310288365633277,0.0732017150920846
"TUT7","micro1","turquoise",0.281935610337438,0.324721249665614,0.149974997039076,0.136341068891399,0.234799775056704,0.245229373461113,0.0574900495254162
"CTSL","micro3","blue",-0.0845973741882842,-0.158886541270009,-0.0214703596127372,0.115092168340836,-0.11202910674532,-0.000773807641641846,0.0946329997812583
"SHC3","micro1","turquoise",0.126989922247093,0.188315757713253,0.0437609775104066,0.0416980490549114,0.107176498965467,0.123723586474756,-0.000871367975972699
"SECISBP2","micro3","blue",0.225813224458371,0.254435808379682,0.130133028404979,0.158767549567803,0.170408650118237,0.212321769683129,0.0516601932088634
"AL158071.4","micro1","turquoise",0.125280732729372,0.256104155977976,-0.00459052310707988,-0.00333850160078571,0.0952762030625828,0.156993961647908,0.00607958601775181
"AUH","micro1","turquoise",0.266318379601559,0.417976188262778,0.0876603417393249,0.0630026190212871,0.240975231826479,0.263812505080325,0.0258404484340529
"NFIL3","micro1","turquoise",0.172852712669167,0.256594206388435,0.064677144858594,0.0941704179366911,0.121870984398556,0.242333368446202,0.0851335088068376
"ROR2","micro2","brown",0.059606509015812,0.0503485196142614,0.134083829271298,0.00607056036030493,0.12385436866343,0.0195537450371614,-0.0295582927795085
"IARS","micro3","blue",0.165567778019006,0.102909631139422,0.142758853349773,0.190591102277688,0.115989196453122,0.136154659639005,0.0793284994444824
"IPPK","micro6","red",0.07949312058872,0.0241844990066107,0.0907324745252304,0.113378957277753,0.0538772713557624,0.0639772612204347,0.0614686600644819
"FGD3","micro1","turquoise",0.250707573344951,0.304027835928205,0.123720810682751,0.0826032104631559,0.247510563079738,0.18531656990917,0.00172832638724387
"SUSD3","micro2","brown",0.114041099007593,0.0605179107889078,0.132499580723785,0.085778969510298,0.12621583659446,0.0396167281045369,0.0642247488626996
"CARD19","micro1","turquoise",0.127049658639721,0.129386411745648,0.0741829979353082,0.0590163208028248,0.100198234434927,0.0737566890957479,0.0573746658841076
"ZNF169","micro1","turquoise",0.171202523181189,0.162245215625176,0.12090914456187,0.100993764647838,0.165941681776417,0.0961342360441273,0.0531768624019871
"LINC00476","micro2","brown",0.0526821321065629,0.0121890609011798,0.0600161232973893,0.0433668284893863,0.0611730529883703,-0.0066229770632813,0.0627289660520181
"ERCC6L2","micro1","turquoise",0.245037900383995,0.244129302401404,0.172445342783052,0.117144519696041,0.23268732157196,0.153849588497033,0.0427456215983122
"SLC35D2","micro1","turquoise",0.0765933701923372,0.126550158018635,0.0483759109069817,-0.0115113796377094,0.0859095041854168,0.0746792403248451,0.00913627092407948
"CDC14B","micro1","turquoise",0.230464533347896,0.269522058146075,0.158163908327402,0.0716988492492471,0.237372707345156,0.149438684696948,0.0391191408403364
"TDRD7","micro1","turquoise",0.165228685475046,0.242087879279685,0.0607453632048665,0.043062110137278,0.169867281756523,0.152215912203401,0.0048678945624564
"TMOD1","micro1","turquoise",0.0929893112889917,0.166733506714909,0.0530296943447281,-0.00974427437618731,0.082927820666923,0.10351625041706,-0.0141582336649081
"TSTD2","micro3","blue",0.134360608555197,0.0955942593248369,0.0913721085650217,0.129242120546856,0.0778962821126465,0.128379090941345,0.0791503709493205
"NANS","micro3","blue",0.0934560953320174,-0.00595717529031878,0.212301611397665,0.14380086615671,0.104599780971692,0.0338946337609635,0.145734819447778
"TBC1D2","micro3","blue",0.0315721141474912,0.0244092785692576,0.0170379677641292,0.0722202507900707,0.015186926940934,0.063748452840116,0.0277865859922828
"TGFBR1","micro3","blue",0.0571368012358327,-0.0427969877462675,0.0750436652990941,0.283128260584825,0.0376800236488608,0.143254597326282,0.0323492543991401
"ALG2","micro2","brown",0.0974511751924827,0.0725283718422062,0.123910829071463,0.0627163215267602,0.0958090615242678,0.0445986030095659,0.0872136283063657
"SEC61B","micro6","red",0.116443710827679,0.0280119989630251,0.179263321079091,0.132200945510274,0.112999815280493,0.011774106378628,0.150226834665024
"STX17","micro1","turquoise",0.248622642568855,0.232088781589495,0.181129129590678,0.163236721408562,0.202274221318965,0.182037708835762,0.091915893137317
"ERP44","micro2","brown",0.324482675015802,0.259112564415435,0.313142666157113,0.194790611898949,0.31796973943203,0.175518252972246,0.147021867819957
"INVS","micro1","turquoise",0.295890036001446,0.304681129658333,0.193042929151784,0.13906703095838,0.259388887120955,0.190987040878165,0.0503935081951254
"RNF20","micro2","brown",0.150837842230794,0.111024129657133,0.15091326692748,0.114395711252522,0.147398837426588,0.0834834132175948,0.083095696775048
"NIPSNAP3A","micro3","blue",0.0854850224256067,0.0451427476265229,0.0861779020190936,0.110180013509637,0.0750388153643075,0.0481759285290319,0.0596034334267876
"ABCA1","micro1","turquoise",0.199282071039939,0.303976767836265,0.0543361202412523,0.0893537045100875,0.116125126346094,0.273200548683451,0.0791815828608171
"SLC44A1","micro1","turquoise",0.223498655578984,0.265765026083401,0.13558912466596,0.0861038066496629,0.199246785581469,0.192047644111226,0.0496479822698503
