"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15"
"CUX1","micro8","turquoise",0.306162724377795,0.0469323156667711,0.292647441933698,0.260225746483141,0.239759584216147,0.343323027196335,0.092354430526526,0.210334860783469,0.408279219372363,0.11896249973378,0.225611215195361,0.23651569120322,0.269869880149223,0.205117640920025,0.0976121376914214,0.0951182968408673
"PRKRIP1","micro11","cyan",0.0719656005699532,-0.0370862663348404,0.0405294371959839,-0.00181979882278386,0.0789748753943076,0.0854873721001961,0.00256617438558552,0.0803654909922282,0.0529262438560206,0.0632413365742381,0.0694972007172607,0.111302462116967,0.0763180455439489,0.0711718209520445,0.052403806221369,0.0514071625426454
"AC105052.3","micro5","blue",0.0739993594048704,0.0283762686594623,0.0162483775319892,0.0584230062415407,0.0234181086404643,0.15140933165264,0.091759504262694,0.0918891432420606,0.069898274411804,0.0660291769496501,0.058842249432495,0.0485145522250539,0.0684969189979135,0.052792189813426,0.0501754437799867,0.0515705844111538
"NAPEPLD","micro10","purple",0.0699874294521533,0.0332067802367366,0.0431917046380933,0.0897968859491972,0.0779577688418984,0.0494259553564119,0.0417685715700691,0.0575624908497085,0.0511661442344295,0.074512597583348,0.107492136615974,0.0686142144454896,0.0804814860709051,0.102635885277337,0.0804387696248713,0.0922774614376438
"PMPCB","micro5","blue",0.139565387428542,0.0872719948011666,0.0999304096800681,0.118437622383363,0.0872036830510751,0.161635066368305,0.0697923040839648,0.107006201790114,0.142464504666431,0.0768962353632331,0.0867985988984376,0.112026462305133,0.0978154534585088,0.107892468038789,0.067689293051393,0.0089257809950168
"PSMC2","micro1","brown",0.103381772808868,0.0707520220125845,0.0858687695566877,0.0811511401274983,0.0609631141790892,0.0945981794467954,0.0856562806307509,0.069954950755996,0.110950506015752,0.0390940259672844,0.0802401013850647,0.0236394297767859,0.0629026420223969,0.0795098303658146,0.0754790959373994,0.0441862065425144
"LINC01004","micro8","turquoise",0.221988323860652,0.0465324641151918,0.203857790051213,0.143190484930653,0.149186652821045,0.243686844706553,0.0760968699908242,0.173784275646414,0.296452516304108,0.0925091669959418,0.140549956264159,0.129199028518314,0.207553140762592,0.115144906535236,0.102601255271217,0.102870845556869
"KMT2E","micro8","turquoise",0.322422817436415,0.0806808773509941,0.3332769122792,0.180290113140321,0.209827466176272,0.309367157333775,0.0538596436554465,0.256941000259366,0.395177403789456,0.151537871759999,0.116544773648586,0.165178014404349,0.218011540484442,0.0920850867807407,0.149647576312177,0.102077935521853
"SRPK2","micro5","blue",0.323675368088124,0.0838128894150095,0.298228928933657,0.177112905432968,0.212614044738968,0.354126376599117,0.0892705484675801,0.249649283670662,0.365798685783793,0.140155692578578,0.140499714325491,0.200164430851387,0.280069859948475,0.122020994556988,0.176645938999632,0.146688885496
"PUS7","micro10","purple",0.0107466917115978,-0.0431115577859985,-0.0266382301296967,0.0157073599158507,0.0193107297450419,0.00521470766364158,-0.015258384217013,0.00405688814311467,-0.0184368151533034,0.00521775071565489,0.0527670327081311,-0.0181843897542181,-0.0109207095716038,0.0305475627440134,-0.00826269446697646,0.0190048265737238
"ATXN7L1","micro7","magenta",0.195761210870913,0.0135953593649032,0.1583462811544,0.131999599298083,0.156231189248553,0.209916923949111,0.0288108708608578,0.174940699387603,0.237768890872856,0.102054724190577,0.132781182058128,0.144525455696466,0.179306695103463,0.127707466069018,0.0827304264404952,0.0345117581037069
"CDHR3","micro12","tan",0.0104622624364323,0.0257981476574057,-0.00514405115785689,0.0206877383848915,-0.00647561201500128,0.0292671341786105,0.0207376436468608,-0.0161309539886101,0.0243377066433062,-0.00782840978779892,0.00347509504408784,0.0304510667462757,0.00689520658963158,0.000783383836841559,-0.00626948950755084,0.0308074120912371
