"","gene_name","module","color","kME_micro_state3_AD1","kME_micro_state3_AD2","kME_grey","kME_micro_state3_AD3","kME_micro_state3_AD4","kME_micro_state3_AD5","kME_micro_state3_AD6","kME_micro_state3_AD7","kME_micro_state3_AD8","kME_micro_state3_AD9","kME_micro_state3_AD10","kME_micro_state3_AD11","kME_micro_state3_AD12","kME_micro_state3_AD13","kME_micro_state3_AD14","kME_micro_state3_AD15","kME_micro_state3_AD16","kME_micro_state3_AD17","kME_micro_state3_AD18","kME_micro_state3_AD19","kME_micro_state3_AD20","kME_micro_state3_AD21"
"AL365356.1","AL365356.1","micro_state3_AD2","turquoise",0.0313055350914094,0.0921815527861694,0.0518655622773172,0.0303631229324686,-0.0225701100708882,0.0393328774593018,0.0150938774082375,0.0350685432129645,0.0260814026446787,0.0895740427561013,0.0553618911785667,0.0243159256896829,0.0803801693178364,-0.0518743480769406,0.0636740437593022,0.0384024871960621,0.0671893812498409,0.0904454704155609,0.139938478628721,0.0291544657073495,0.089973416558871,0.0654592817389596
"GDI2","GDI2","micro_state3_AD6","yellow",0.224001867349414,0.175731116826234,0.152622113541439,0.181981974079697,0.170159987934005,0.209243573727601,0.232043637722879,0.183149671033964,0.131918279480743,0.225390329260813,0.121168051073001,0.124957362165627,0.100759664746906,0.0589671220397913,0.070320828074623,0.123314870423334,0.117867344372478,0.153895814593231,0.118712725060813,0.113082752885696,0.0391525380339545,0.138289714172365
"AL137186.2","AL137186.2","micro_state3_AD21","midnightblue",0.0800370521512892,0.0599099055142861,0.0436056150569032,0.0207581458588416,0.0184179608914565,0.0495030694181289,0.00191469367747321,0.13594553716302,0.0618546255144991,-0.000359372397865323,0.0798552137191607,0.0100041444791754,0.0549506568349898,0.0238843640185518,0.0332873755038444,0.0557753521497984,-0.0151122962244588,-0.0492720832796521,0.0095574797326356,-0.0236902569465076,0.0422437662755424,0.216002288591632
"IL15RA","IL15RA","micro_state3_AD2","turquoise",0.017877249549303,0.0852004136682921,0.0166116569590548,0.0293998101834853,-0.0745074813682063,-0.0230675439756369,-0.00870961211355935,-0.0305840926363156,-0.00328076624875618,-0.0384310056281726,0.0487365309792406,0.0299145373846198,-0.0397949777972483,-0.0070215897177572,0.0356381406870557,-0.0282414329328002,0.0423534292398684,0.00919944146251525,-0.0533961885633133,-0.0180660398165518,0.0433358861589261,-0.00234179700071406
"RBM17","RBM17","micro_state3_AD2","turquoise",0.172438201605351,0.132634361651615,0.126404644291949,0.118345478806741,0.110566273147665,0.151337528691142,0.218247565903483,0.149001271631282,0.154388216560456,0.190101809901869,0.14410659360742,0.122148418394175,0.136310768714962,0.122140377823693,0.0899961417897331,0.140115970448202,0.138385782365731,0.163068433906934,0.100226347913413,0.0258157878569917,0.122202305840438,0.119994300948748
"PFKFB3","PFKFB3","micro_state3_AD4","blue",0.197192360859666,-0.0154043589832975,0.203713153761196,0.168791324577131,0.337705346449095,0.155573884917526,0.265375055869585,0.173166841077953,0.132892742980653,0.178521433505129,0.0953080469493193,0.138728324284357,0.0869693740706535,0.119803547490873,0.0485167679508322,0.202096027221633,0.131290879640506,0.167455831619892,0.0832965142653838,0.085656218814661,-0.00697271805272459,0.0841334067317923
"SFMBT2","SFMBT2","micro_state3_AD4","blue",0.179253636728285,0.0288073725576188,0.188060001016368,0.260390530175095,0.397102825608885,0.279737038496794,0.188318701892865,0.197254628118636,0.205739629124485,0.258741877241035,0.152982202799799,0.152830983116211,0.199777913588297,0.15858953275034,0.22913447135418,0.198571559768898,0.17455112689153,0.225517248604506,0.117006499678648,0.112816521706947,0.13612073441911,0.201348019989637
"AL139125.1","AL139125.1","micro_state3_AD2","turquoise",0.0397862539914748,0.00112289135861333,-0.0428632621031773,0.0179733599646038,0.0289574639713043,0.00110860895337606,0.00108552904398572,-0.0100418102789992,-0.00304906564269432,-0.0370146139975462,-0.0265521948552761,0.0100690877501852,-0.00350687601821831,0.0598954103772779,-0.00247358375961849,-0.0134834693655559,-0.0139506642466438,0.0331697005685324,-0.0201397766009823,-0.0136902381609384,0.00046429451788756,0.00886382214788922
"KIN","KIN","micro_state3_AD2","turquoise",0.0549740295700422,0.137575649849696,0.0752977500253232,0.10617558015839,0.00385097550924012,0.018111900091836,0.0428083592549025,0.0889453214237845,0.0339619383452756,0.0428940775247638,0.0268919834453817,0.0204092812144095,0.047276978448365,0.0740831343327384,0.0558905153057101,0.0660711563633248,0.0455608660557614,0.011046646754802,0.079431001099949,0.0707619907329699,0.0167755178983426,0.0656389222716243
"ATP5F1C","ATP5F1C","micro_state3_AD2","turquoise",0.111181993044642,0.142413551863076,0.0989186410367015,0.166070924372248,0.0577793436656738,0.111284695715809,0.115686755228974,0.00597097571261655,0.147138629306572,0.15410673641371,0.100758647305373,0.132723605254339,0.0937234953655569,0.0857532178056555,0.10682727403117,0.111686831447298,0.139851259112526,0.168851181785771,0.152396397713113,0.129671538861045,0.180335152321221,0.0104111429231512
